 ,frequency,word,meanDuration,medianDuration,stDevDuration,n_characters
нас,1,нас,0.24,0.24,NA,3
иусуф,1,иусуф,0.6999999999999997,0.6999999999999997,NA,5
иҟны,1,иҟны,0.5899999999999999,0.5899999999999999,NA,4
инеит,1,инеит,1.33,1.33,NA,5
уи,4,уи,0.23000000000000018,0.17500000000000027,NA,2
ида,1,ида,0.43999999999999995,0.43999999999999995,NA,3
зегьы,5,зегьы,0.6419999999999999,0.6699999999999999,NA,5
ақәӡаара,1,ақәӡаара,0.8999999999999999,0.8999999999999999,NA,8
рԥеиԥшуп,1,рԥеиԥшуп,1.85,1.85,NA,8
рыбжьара,1,рыбжьара,0.7999999999999998,0.7999999999999998,NA,8
шьоукы,1,шьоукы,0.6699999999999999,0.6699999999999999,NA,6
иуаа,1,иуаа,0.6500000000000004,0.6500000000000004,NA,4
бзиақәоуп,1,бзиақәоуп,0.8699999999999997,0.8699999999999997,NA,9
шьоукгьы,1,шьоукгьы,0.8699999999999992,0.8699999999999992,NA,8
ус,2,ус,0.06999999999999984,0.06999999999999984,NA,2
иҟам,1,иҟам,1.2200000000000006,1.2200000000000006,NA,4
уара,4,уара,0.27249999999999996,0.27499999999999986,NA,4
гаврил,1,гаврил,1.27,1.27,NA,6
ацқьа,1,ацқьа,0.9900000000000002,0.9900000000000002,NA,5
ила,1,ила,0.13999999999999968,0.13999999999999968,NA,3
ацхыраара,1,ацхыраара,0.3700000000000001,0.3700000000000001,NA,9
усҭахьан,1,усҭахьан,3.68,3.68,NA,8
аҵыхәтәантәи,1,аҵыхәтәантәи,1.23,1.23,NA,12
ахынҳәрагьы,1,ахынҳәрагьы,1.0499999999999998,1.0499999999999998,NA,11
иара,3,иара,0.3833333333333333,0.38000000000000034,NA,4
иахь,1,иахь,0.25,0.25,NA,4
мацароуп,1,мацароуп,1.13,1.13,NA,8
шәнызқьҩыла,1,шәнызқьҩыла,0.7700000000000002,0.7700000000000002,NA,11
иҟаз,1,иҟаз,0.46999999999999975,0.46999999999999975,NA,4
иҵегьы,1,иҵегьы,0.3799999999999999,0.3799999999999999,NA,6
аизҳара,1,аизҳара,0.7400000000000002,0.7400000000000002,NA,7
иаҿыз,1,иаҿыз,0.5499999999999998,0.5499999999999998,NA,5
иуаажәлар,1,иуаажәлар,0.6299999999999999,0.6299999999999999,NA,9
цҳаражәҳәаҩыс,1,цҳаражәҳәаҩыс,1.2600000000000007,1.2600000000000007,NA,13
дырзынаҳашьҭит,1,дырзынаҳашьҭит,1.2899999999999991,1.2899999999999991,NA,14
ҳәарада,5,ҳәарада,0.6519999999999999,0.5999999999999999,NA,7
унцәа,2,унцәа,0.5549999999999999,0.5549999999999999,NA,5
аиааираҵәҟьеи,1,аиааираҵәҟьеи,0.98,0.98,NA,13
ҳәаа,1,ҳәаа,0.3500000000000001,0.3500000000000001,NA,4
змам,1,змам,1.15,1.15,NA,4
арыцҳашьареи,1,арыцҳашьареи,1.8600000000000003,1.8600000000000003,NA,12
ирқәиҭу,1,ирқәиҭу,0.8300000000000001,0.8300000000000001,NA,7
иоуп,2,иоуп,1.3049999999999997,1.3049999999999997,NA,4
урҭ,3,урҭ,0.31333333333333335,0.31999999999999995,NA,3
раасҭа,3,раасҭа,0.6366666666666668,0.5800000000000001,NA,6
иҳаракӡоу,1,иҳаракӡоу,2.5300000000000002,2.5300000000000002,NA,9
рынцәа,1,рынцәа,0.6899999999999995,0.6899999999999995,NA,6
ицәшәоит,1,ицәшәоит,0.96,0.96,NA,8
ирыдҵоу,1,ирыдҵоу,0.4300000000000006,0.4300000000000006,NA,7
нарыгӡоит,1,нарыгӡоит,2.6799999999999997,2.6799999999999997,NA,9
убас,2,убас,0.2250000000000001,0.2250000000000001,NA,4
рықәҿырҭуеит,1,рықәҿырҭуеит,1.2899999999999998,1.2899999999999998,NA,12
иабаҟоу,1,иабаҟоу,1.3000000000000003,1.3000000000000003,NA,7
адунеиаҿ,1,адунеиаҿ,0.5799999999999996,0.5799999999999996,NA,8
шәзымҵахырхәақәоз,1,шәзымҵахырхәақәоз,0.96,0.96,NA,17
ҳәа,3,ҳәа,0.9633333333333335,1.1600000000000001,NA,3
шәара,1,шәара,0.28,0.28,NA,5
абри,1,абри,0.1499999999999999,0.1499999999999999,NA,4
аҩыза,1,аҩыза,0.71,0.71,NA,5
аԥҟара,1,аԥҟара,0.75,0.75,NA,6
шәоур,1,шәоур,0.5100000000000002,0.5100000000000002,NA,5
шәахаҵгыл,1,шәахаҵгыл,1.8399999999999999,1.8399999999999999,NA,9
ианыҟамла,1,ианыҟамла,0.34000000000000075,0.34000000000000075,NA,9
ишәыдшәымкылан,1,ишәыдшәымкылан,1.2799999999999994,1.2799999999999994,NA,14
аллаҳ,3,аллаҳ,0.5500000000000002,0.5500000000000003,NA,5
иҿаԥхьа,1,иҿаԥхьа,0.44999999999999996,0.44999999999999996,NA,7
зегь,3,зегь,0.483333333333333,0.33999999999999986,NA,4
зыхәшьара,1,зыхәшьара,0.5699999999999998,0.5699999999999998,NA,9
ҳараку,1,ҳараку,0.4600000000000004,0.4600000000000004,NA,6
ицәшәо,1,ицәшәо,0.7400000000000002,0.7400000000000002,NA,6
аԥсы,2,аԥсы,0.4249999999999996,0.4249999999999996,NA,4
иазкны,1,иазкны,0.6800000000000002,0.6800000000000002,NA,6
азҵаара,1,азҵаара,0.73,0.73,NA,7
урҭоит,1,урҭоит,0.6299999999999999,0.6299999999999999,NA,6
ажәҩанқәеи,1,ажәҩанқәеи,0.6299999999999999,0.6299999999999999,NA,10
адгьыли,1,адгьыли,0.94,0.94,NA,7
рыҟны,1,рыҟны,0.15999999999999992,0.15999999999999992,NA,5
иҟоу,1,иҟоу,0.3900000000000001,0.3900000000000001,NA,4
ирҽхәаԥхьыӡ,1,ирҽхәаԥхьыӡ,0.7000000000000002,0.7000000000000002,NA,11
еиҭарҳәоит,1,еиҭарҳәоит,0.34999999999999964,0.34999999999999964,NA,10
дҳаракӡоуп,1,дҳаракӡоуп,0.47999999999999954,0.47999999999999954,NA,10
иҟаиҵо,1,иҟаиҵо,0.6000000000000005,0.6000000000000005,NA,6
аҟәыӷара,1,аҟәыӷара,0.5700000000000003,0.5700000000000003,NA,8
аҵоуп,1,аҵоуп,0.8599999999999994,0.8599999999999994,NA,5
ахашшаара,1,ахашшаара,1.0,1.0,NA,9
рыла,3,рыла,0.3633333333333335,0.46000000000000085,NA,4
итәуп,1,итәуп,1.15,1.15,NA,5
иахьырхәра,1,иахьырхәра,1.02,1.02,NA,10
иаарласны,1,иаарласны,0.6299999999999999,0.6299999999999999,NA,9
иҟалоит,1,иҟалоит,1.9500000000000002,1.9500000000000002,NA,7
аиашазы,1,аиашазы,0.5799999999999998,0.5799999999999998,NA,7
ҳарҭ,2,ҳарҭ,0.3500000000000001,0.3500000000000001,NA,4
аилкаара,1,аилкаара,0.7200000000000002,0.7200000000000002,NA,8
змоу,1,змоу,0.21999999999999975,0.21999999999999975,NA,4
насгьы,1,насгьы,0.8900000000000006,0.8900000000000006,NA,6
абзиара,1,абзиара,0.5599999999999996,0.5599999999999996,NA,7
зҽазҭаз,1,зҽазҭаз,0.54,0.54,NA,7
аӡә,1,аӡә,0.5699999999999994,0.5699999999999994,NA,3
уакәны,1,уакәны,0.5200000000000005,0.5200000000000005,NA,6
уаҳбоит,1,уаҳбоит,0.9100000000000001,0.9100000000000001,NA,7
рҳәеит,2,рҳәеит,0.42499999999999954,0.42499999999999954,NA,6
уаргьы,1,уаргьы,1.0299999999999998,1.0299999999999998,NA,6
уԥсуеит,1,уԥсуеит,0.3900000000000001,0.3900000000000001,NA,7
даргьы,2,даргьы,1.255,1.255,NA,6
ԥсуеит,1,ԥсуеит,1.8800000000000003,1.8800000000000003,NA,6
аха,2,аха,0.32000000000000006,0.32000000000000006,NA,3
ҳара,2,ҳара,0.6949999999999998,0.6949999999999998,NA,4
рхаҭақәагьы,1,рхаҭақәагьы,0.8999999999999999,0.8999999999999999,NA,11
изхылҵызгьы,1,изхылҵызгьы,1.48,1.48,NA,11
ҳаҭәашьара,1,ҳаҭәашьара,0.8199999999999994,0.8199999999999994,NA,10
иаҵанакит,1,иаҵанакит,2.360000000000001,2.360000000000001,NA,9
шәааԥшы,1,шәааԥшы,0.6400000000000001,0.6400000000000001,NA,7
ҳаргьы,1,ҳаргьы,0.8799999999999999,0.8799999999999999,NA,6
ҳаԥшуп,1,ҳаԥшуп,1.12,1.12,NA,6
арҭ,1,арҭ,0.32999999999999996,0.32999999999999996,NA,3
агәы,1,агәы,0.4,0.4,NA,4
рызҭоуп,1,рызҭоуп,0.73,0.73,NA,7
ала,1,ала,0.09999999999999964,0.09999999999999964,NA,3
аиаша,1,аиаша,0.3400000000000003,0.3400000000000003,NA,5
рзеилкаауам,1,рзеилкаауам,2.0100000000000002,2.0100000000000002,NA,11
мамзар,1,мамзар,0.87,0.87,NA,6
зынӡа,2,зынӡа,0.3999999999999996,0.3999999999999996,NA,5
ииашамыз,1,ииашамыз,1.25,1.25,NA,8
акы,1,акы,0.29000000000000004,0.29000000000000004,NA,3
ҟаҳҵон,1,ҟаҳҵон,0.8500000000000001,0.8500000000000001,NA,6
