character,frequency,frequencyRel
a,11747,0.12172678569578148
i,10433,0.1081106286851186
t,9296,0.09632861154575506
n,8552,0.08861900666300529
e,7870,0.08155186885381802
s,7347,0.07613234821715387
l,5511,0.05710703294198108
o,5190,0.05378071148047211
k,4756,0.049283441965534754
u,4642,0.048102131539952124
ä,4030,0.041760359781561195
m,2968,0.030755520553765167
r,2456,0.025449986010797593
v,2274,0.023564034278727088
h,1877,0.019450172533496367
j,1838,0.01904604001948126
p,1658,0.01718081303171922
y,1613,0.01671450628477871
d,951,0.009854615918676103
ö,387,0.004010238023688383
g,337,0.0034921194159767055
b,245,0.002538781177787219
c,233,0.0024144327119364163
f,125,0.0012952965192791935
w,73,0.000756453167259049
z,36,0.0003730453975524077
x,11,0.00011398609369656902
q,10,0.00010362372154233548
á,9,9.326134938810192e-05
ü,6,6.217423292540129e-05
š,5,5.181186077116774e-05
í,4,4.144948861693419e-05
ó,4,4.144948861693419e-05
è,2,2.0724744308467094e-05
ô,2,2.0724744308467094e-05
é,2,2.0724744308467094e-05
ō,1,1.0362372154233547e-05
ñ,1,1.0362372154233547e-05
î,1,1.0362372154233547e-05
