character,frequencyTot,frequencyRet
o,7085,0.0825824950753558
e,6663,0.07766367885491823
a,5880,0.06853706013311109
n,5524,0.06438753744477987
t,4661,0.05432844171435898
l,4045,0.047148368748033055
i,3935,0.045866212861189144
s,3888,0.04531838261862856
v,3763,0.043861387292669564
r,3346,0.03900085088527036
k,3020,0.0352010070751693
d,2988,0.0348280162717238
m,2755,0.03211217698413624
p,2638,0.030748429359038616
u,2609,0.03041040644341613
í,2524,0.029419649621764014
c,2158,0.025153567307356076
h,1951,0.022740783047567985
y,1847,0.0215285629363701
á,1811,0.02110894828249391
z,1745,0.02033965475038756
b,1673,0.01950042544263518
j,1602,0.01867285209749047
ě,1230,0.014336834007436504
ř,1050,0.012238760738055552
é,1047,0.012203792850232537
ž,908,0.010583614047766135
ý,719,0.008380637114916135
č,621,0.007238352779364284
š,599,0.006981921601995501
ů,455,0.005303462986490739
g,389,0.004534169454384391
f,286,0.003333605305794179
ú,112,0.0013054678120592589
w,77,0.0008975091207907405
x,59,0.0006877017938526453
ň,52,0.0006061100555989417
ť,27,0.0003147109904071428
ó,18,0.00020980732693809517
ď,10,0.00011655962607671954
ü,7,8.159173825370368e-05
ö,3,3.496788782301586e-05
ô,3,3.496788782301586e-05
q,3,3.496788782301586e-05
ä,2,2.3311925215343908e-05
è,2,2.3311925215343908e-05
ō,1,1.1655962607671954e-05
ñ,1,1.1655962607671954e-05
î,1,1.1655962607671954e-05
