"","language","Lmin","L","Lrand","eta","omega"
"1","Kinyarwanda",3.68860865443246,6.13086736608745,9.19146813667534,0.601645482470522,0.556183704211258
"2","Abkhazian",5.87830687830688,6.17460317460317,6.64,0.952013710368466,0.611003056404557
"3","Mongolian",4.18621705031286,5.4824032390498,7.32228509835624,0.763573357847061,0.586684291003939
"4","Oriya",3.78278900984966,4.31467081389321,5.44191096634093,0.876727141655653,0.67941970633167
"5","Latvian",4.00207523552276,4.84149153435668,7.09368583162218,0.826620310522663,0.728485760822214
"6","Estonian",4.67666976068445,6.19981435893297,8.83998672639788,0.754324160359108,0.634151180226675
"7","Basque",4.44326231887837,6.41240536476397,8.88543083446676,0.692916630519649,0.556715815940906
"8","Catalan",2.98107940917394,4.8958332448021,8.57549897112848,0.608901337139893,0.657738606405273
"9","Portuguese",3.14877542858305,4.60973014011564,7.48969269675837,0.683071531927909,0.663445621909607
"10","Breton",2.87945860286286,3.97516431558985,6.32184173993522,0.724362158205678,0.681701405945518
"11","Panjabi",3.6,3.72727272727273,3.93684210526316,0.965853658536585,0.622159090909091
"12","Interlingua",3.38971617665776,4.49691358024691,7.41822766570605,0.753787262345308,0.725159675825891
"13","Spanish",2.6908273063267,5.01165570830843,7.90803655262705,0.536913839046404,0.555159033801935
"14","Dutch",3.24453568936297,4.75629610706809,8.27067316707294,0.682155949992566,0.699220241306668
"15","Romanian",3.60716212166617,5.0312556188193,7.67095673747868,0.716950676919228,0.649565582962317
"16","Polish",3.81569576218115,5.26836889053798,7.87033313621131,0.724265107751691,0.64172551220951
"17","Italian",3.13388440125818,5.29111965976047,8.15176640230714,0.592291349048803,0.570090476808474
"18","Modern Greek",3.61532985287138,4.85345145810262,7.64244086390127,0.7448987352775,0.692553395761841
"19","Welsh",2.76014396769862,4.16601594972093,6.9962569637883,0.662538022180044,0.66812217159456
"20","Czech",3.80118686465485,4.85365772526478,7.15955588822355,0.783159233678243,0.686612503502803
"21","German",2.91423992005845,5.72881074186311,10.2756747050452,0.508698934451217,0.617660020904506
"22","Vietnamese",2.70307692307692,3.22076923076923,3.40418118466899,0.839264389777884,0.261604391739493
"23","Indonesian",3.69115391555395,5.38016510285096,7.23526329578203,0.686067034187855,0.523431416445643
"24","Kirghiz",4.5072184025396,6.03839711582944,7.80937410688768,0.746426297588824,0.536309353531188
"25","Tatar",4.04564204100153,5.42623987680293,7.47133957782459,0.745570069302791,0.59698781898832
"26","French",2.54551891303684,5.03894586990754,8.11479660808652,0.505168933891237,0.552288987297759
"27","Hakha Chin",2.5616646074357,3.2957991688195,5.29463220675944,0.777251427110846,0.73137824189154
"28","Chuvash",4.99987707437001,6.25685310387216,7.5277628032345,0.799104116936316,0.502755992824575
"29","Swedish",3.091558421036,4.05328529439651,6.88863942523574,0.762729044834308,0.746719421498567
"30","Slovenian",3.6447238845542,4.56438906143474,6.42876209542876,0.798512974134712,0.669665030713914
"31","Russian",4.04799133350658,6.31295966386028,8.99927947119451,0.641219261494741,0.542549682553648
"32","Tamil",4.60435356200528,5.72229551451187,7.02491803278689,0.804634005763689,0.538148243518749
"33","Georgian",6.00503843420968,7.26664944125057,8.23763373190686,0.826383394817547,0.434912808271978
"34","Western Frisian",3.43486939027674,4.38498582223137,7.98586530466801,0.783325084624527,0.791228898063795
"35","Maltese",3.71426635345139,5.07420039754246,7.34045164457536,0.731990473858755,0.624968407593548
"36","Romansh",3.80865314989138,4.93811097031137,7.52943577186001,0.771277351357544,0.696446168676632
"37","Dhivehi",2.16210374639769,3.4978386167147,7.73548387096774,0.618125643666323,0.760336664562235
"38","Yakut",5.00565913577539,6.31866637420487,7.97599801019774,0.792201841231931,0.55796045705902
"39","Persian",2.64016577120116,3.80231808279914,5.49086102719033,0.694356893271159,0.592326710771222
"40","Irish",3.01986725858204,4.22328688848842,6.58675897879706,0.715051413346655,0.662613915895985
"41","English",2.36391767365301,4.60779670914356,7.79118497942624,0.513025600491907,0.586554538578995
"42","Esperanto",3.2292556395599,4.83032269961276,7.72228984677073,0.668538282094234,0.643655715444293
"43","Ukrainian",4.5253173973418,5.52376347285591,7.67282450170151,0.819245324239436,0.682781946979202
"44","Assamese",4.243,4.7135,5.49955156950673,0.900180333085817,0.625562522527667
"45","Arabic",3.3475772528717,4.1856091247371,5.15792983860211,0.799782577185099,0.537089140275245
"46","Turkish",4.58326383097025,6.0024186822352,8.08306352573406,0.763569499830946,0.594503978788216
