"","language","Lmin","L","Lrand","corr","corr_min","eta","psi","omega","family","script"
"1","Indonesian",4.13312325346334,5.98275759557643,7.33681462140992,-0.104399361005254,-0.788417217426393,0.690839163619017,0.422655265541818,0.132416389061165,"Austronesian","Latin"
"2","Czech",4.7212101910828,5.46452229299363,7.25448369565217,-0.220540062317279,-0.66022422179698,0.863974916368468,0.706580398614644,0.334038126800346,"Indo-European","Latin"
"3","English",3.7854976564654,4.87438654535429,6.99114521841795,-0.19384535134062,-0.757218789505699,0.776610065952464,0.660321707909259,0.255996488765367,"Indo-European","Latin"
"4","French",3.69232593435781,4.80848036425726,7.47094582513857,-0.1602136139285,-0.747396478429635,0.767877927048194,0.704613202131632,0.214362281001279,"Indo-European","Latin"
"5","German",4.52905779030684,5.74509378727095,8.54722445695897,-0.227355482053752,-0.679888520894704,0.788334874591881,0.697365465933425,0.334401118810716,"Indo-European","Latin"
"6","Icelandic",4.43613060726274,5.32615196826366,7.87854251012146,-0.256540831850389,-0.657655910720075,0.832895988266166,0.741454135612939,0.390083670911586,"Indo-European","Latin"
"7","Italian",3.80476736190694,4.84959889983956,7.63324360699865,-0.162174214956446,-0.743484176304864,0.784552999224909,0.727089455165841,0.218127325536982,"Indo-European","Latin"
"8","Polish",5.16099051085402,6.06772390484856,7.97025515077091,-0.183382000913452,-0.643424613391886,0.85056449366953,0.677234611111124,0.285009303493587,"Indo-European","Latin"
"9","Portuguese",3.56594888675536,4.52576235541535,7.47780908770694,-0.181375182039136,-0.739165673156466,0.787922256343947,0.754640140660826,0.245378253652673,"Indo-European","Latin"
"10","Spanish",3.73523692074183,4.82768107005644,7.58837814397225,-0.160866654589523,-0.738310310404118,0.773712444243579,0.716479597807546,0.217884881631237,"Indo-European","Latin"
"11","Swedish",4.31117516363418,5.43139374286915,7.96011639849367,-0.225038463403772,-0.680397345585881,0.793751174695132,0.693001748415905,0.33074565158686,"Indo-European","Latin"
"12","Japanese-romaji",2.75329505943236,3.84086682299668,6.092390183543,-0.157251419760808,-0.795091858221562,0.716842105263158,0.674291470251541,0.197777675792761,"Japonic","Latin"
"13","Chinese-pinyin",3.87649201456991,4.93454749229476,6.58289738430584,-0.170691268241833,-0.765240311836486,0.785582066161691,0.609055062646402,0.223055771633612,"Sino-Tibetan","Latin"
"14","Turkish",5.34920522282146,6.4293925631564,7.91550125128809,-0.232094234272868,-0.663476336001913,0.831992318135161,0.579087007752431,0.349815391565373,"Turkic","Latin"
"15","Finnish",6.54858787831635,7.50820820042014,9.27162238552855,-0.227718273237356,-0.591154664963158,0.872190501849683,0.647591567583096,0.385209297555908,"Uralic","Latin"
