"character","frequency","frequencyRel"
"の",2016,0.0470819028935753
"に",1222,0.0285387328055303
"は",1172,0.0273710268805904
"た",1145,0.0267404656811229
"る",1020,0.0238212008687732
"し",947,0.022116350218361
"と",874,0.0204114995679488
"を",851,0.0198743548424765
"い",813,0.0189868983395222
"ー",796,0.0185898783250426
"で",730,0.017048506504122
"が",711,0.0166047782526449
"て",703,0.0164179453046545
"ン",681,0.0159041546976809
"な",627,0.0146430322987459
"れ",536,0.0125178075153553
"ス",472,0.0110231439314323
"こ",425,0.00992550036198884
"っ",407,0.00950512622901049
"か",397,0.00927158504402251
"す",385,0.00899133562203695
"ル",377,0.00880450267404657
"ら",373,0.00871108620005138
"あ",342,0.00798710852658866
"ト",342,0.00798710852658866
"ア",337,0.00787033793409468
"リ",330,0.0077068591046031
"ま",320,0.00747331791961512
"り",289,0.00674934024615241
"ラ",287,0.00670263200915481
"さ",281,0.00656250729816203
"イ",269,0.00628225787617646
"も",251,0.00586188374319811
"年",240,0.00560498843971134
"ド",222,0.00518461430673299
"そ",218,0.0050911978327378
"う",218,0.0050911978327378
"ッ",218,0.0050911978327378
"よ",209,0.00488101076624863
"彼",195,0.00455405310726547
"人",188,0.00439057427777389
"く",184,0.0042971578037787
"き",172,0.00401690838179313
"ロ",170,0.00397020014479554
"ク",167,0.00390013778929914
"国",166,0.00387678367080035
"め",154,0.00359653424881478
"マ",151,0.00352647189331839
"け",149,0.00347976365632079
"カ",149,0.00347976365632079
"フ",149,0.00347976365632079
"シ",149,0.00347976365632079
"だ",144,0.00336299306382681
"ィ",144,0.00336299306382681
"的",142,0.00331628482682921
"タ",141,0.00329293070833041
"レ",137,0.00319951423433522
"地",136,0.00317616011583643
"つ",129,0.00301268128634485
"大",128,0.00298932716784605
"デ",123,0.00287255657535206
"テ",122,0.00284920245685327
"ジ",121,0.00282584833835447
"プ",117,0.00273243186435928
"オ",115,0.00268572362736169
"コ",110,0.0025689530348677
"え",101,0.00235876596837852
"者",98,0.00228870361288213
"ニ",98,0.00228870361288213
"間",97,0.00226534949438333
"や",96,0.00224199537588454
"バ",96,0.00224199537588454
"最",93,0.00217193302038815
"メ",91,0.00212522478339055
"ム",89,0.00207851654639296
"一",88,0.00205516242789416
"中",84,0.00196174595389897
"わ",83,0.00193839183540017
"月",82,0.00191503771690138
"ど",82,0.00191503771690138
"お",81,0.00189168359840258
"上",81,0.00189168359840258
"ナ",81,0.00189168359840258
"サ",81,0.00189168359840258
"ブ",80,0.00186832947990378
"ャ",79,0.00184497536140498
"ウ",79,0.00184497536140498
"ん",78,0.00182162124290619
"後",76,0.00177491300590859
"エ",76,0.00177491300590859
"パ",74,0.001728204768911
"行",74,0.001728204768911
"女",73,0.0017048506504122
"日",72,0.0016814965319134
"ち",72,0.0016814965319134
"生",72,0.0016814965319134
"時",70,0.00163478829491581
"グ",70,0.00163478829491581
"世",68,0.00158808005791821
"代",68,0.00158808005791821
"キ",68,0.00158808005791821
"発",67,0.00156472593941942
"出",67,0.00156472593941942
"ュ",67,0.00156472593941942
"会",65,0.00151801770242182
"多",64,0.00149466358392302
"言",63,0.00147130946542423
"自",63,0.00147130946542423
"せ",62,0.00144795534692543
"前",61,0.00142460122842663
"学",61,0.00142460122842663
"性",60,0.00140124710992784
"チ",60,0.00140124710992784
"部",58,0.00135453887293024
"ポ",58,0.00135453887293024
"ば",57,0.00133118475443144
"対",57,0.00133118475443144
"用",57,0.00133118475443144
"ビ",57,0.00133118475443144
"私",56,0.00130783063593265
"家",56,0.00130783063593265
"戦",56,0.00130783063593265
"ェ",56,0.00130783063593265
"ろ",55,0.00128447651743385
"分",55,0.00128447651743385
"セ",55,0.00128447651743385
"要",54,0.00126112239893505
"々",54,0.00126112239893505
"立",53,0.00123776828043625
"合",52,0.00121441416193746
"成",51,0.00119106004343866
"動",51,0.00119106004343866
"海",50,0.00116770592493986
"政",50,0.00116770592493986
"べ",50,0.00116770592493986
"作",50,0.00116770592493986
"ミ",50,0.00116770592493986
"業",49,0.00114435180644107
"関",49,0.00114435180644107
"見",49,0.00114435180644107
"民",49,0.00114435180644107
"ベ",49,0.00114435180644107
"定",49,0.00114435180644107
"ダ",49,0.00114435180644107
"場",48,0.00112099768794227
"事",48,0.00112099768794227
"当",48,0.00112099768794227
"モ",48,0.00112099768794227
"ョ",48,0.00112099768794227
"ケ",47,0.00109764356944347
"ガ",47,0.00109764356944347
"市",46,0.00107428945094467
"化",46,0.00107428945094467
"方",46,0.00107428945094467
"ネ",46,0.00107428945094467
"数",45,0.00105093533244588
"高",45,0.00105093533244588
"全",45,0.00105093533244588
"法",45,0.00105093533244588
