"","language","Lmin","L","Lrand","corr","corr_min","eta","psi","omega","family","script"
"1","Arabic",3.39233556604809,4.1554298890963,5.55621212121212,-0.128040760290389,-0.72480451589106,0.816362122953744,0.64734849535335,0.176655577446256,"Afro-Asiatic","Arabic"
"2","Indonesian",4.13312325346334,5.98275759557643,7.33681462140992,-0.104399361005254,-0.788417217426393,0.690839163619017,0.422655265541818,0.132416389061165,"Austronesian","Latin"
"3","Russian",5.09218651543793,6.02085696282294,7.98967110627888,-0.182418385809991,-0.641349646699596,0.84575776287009,0.679490807191671,0.284428917593892,"Indo-European","Cyrillic"
"4","Hindi",3.12023225075529,4.10942220543807,5.83191056910569,-0.178522695409981,-0.771885753811836,0.759287338893101,0.63521117236187,0.231281241464005,"Indo-European","Devanagari"
"5","Czech",4.7212101910828,5.46452229299363,7.25448369565217,-0.220540062317279,-0.66022422179698,0.863974916368468,0.706580398614644,0.334038126800346,"Indo-European","Latin"
"6","English",3.7854976564654,4.87438654535429,6.99114521841795,-0.19384535134062,-0.757218789505699,0.776610065952464,0.660321707909259,0.255996488765367,"Indo-European","Latin"
"7","French",3.69232593435781,4.80848036425726,7.47094582513857,-0.1602136139285,-0.747396478429635,0.767877927048194,0.704613202131632,0.214362281001279,"Indo-European","Latin"
"8","German",4.52905779030684,5.74509378727095,8.54722445695897,-0.227355482053752,-0.679888520894704,0.788334874591881,0.697365465933425,0.334401118810716,"Indo-European","Latin"
"9","Icelandic",4.43613060726274,5.32615196826366,7.87854251012146,-0.256540831850389,-0.657655910720075,0.832895988266166,0.741454135612939,0.390083670911586,"Indo-European","Latin"
"10","Italian",3.80476736190694,4.84959889983956,7.63324360699865,-0.162174214956446,-0.743484176304864,0.784552999224909,0.727089455165841,0.218127325536982,"Indo-European","Latin"
"11","Polish",5.16099051085402,6.06772390484856,7.97025515077091,-0.183382000913452,-0.643424613391886,0.85056449366953,0.677234611111124,0.285009303493587,"Indo-European","Latin"
"12","Portuguese",3.56594888675536,4.52576235541535,7.47780908770694,-0.181375182039136,-0.739165673156466,0.787922256343947,0.754640140660826,0.245378253652673,"Indo-European","Latin"
"13","Spanish",3.73523692074183,4.82768107005644,7.58837814397225,-0.160866654589523,-0.738310310404118,0.773712444243579,0.716479597807546,0.217884881631237,"Indo-European","Latin"
"14","Swedish",4.31117516363418,5.43139374286915,7.96011639849367,-0.225038463403772,-0.680397345585881,0.793751174695132,0.693001748415905,0.33074565158686,"Indo-European","Latin"
"15","Japanese",1.44762905768687,1.73096980232041,2.71104699093157,-0.211728124824806,-0.600410041132663,0.83631098344193,0.775734745266858,0.352639213736973,"Japonic","Japanese"
"16","Japanese-strokes",5.14589481343736,7.70077212273113,13.9068425391591,-0.091057006010317,-0.778322839215615,0.668231020399593,0.708378888987916,0.116991306720593,"Japonic","Japanese"
"17","Japanese-romaji",2.75329505943236,3.84086682299668,6.092390183543,-0.157251419760808,-0.795091858221562,0.716842105263158,0.674291470251541,0.197777675792761,"Japonic","Latin"
"18","Korean",2.42189982728843,2.75205526770294,3.24355621964886,-0.243813436006336,-0.637149966425433,0.880033135857014,0.598183080562367,0.382662558038242,"Koreanic","Hangul"
"19","Thai",3.16333980223639,4.37177710008317,6.35254059717129,-0.225157092665683,-0.815572629794244,0.723582133722282,0.621084599073842,0.276072399244794,"Kra-Dai","Thai"
"20","Chinese",1.4685346035304,1.66674138414122,2.18329979879276,-0.239638558813247,-0.547380480297194,0.881081262818142,0.72269665349603,0.437791568093802,"Sino-Tibetan","Han (Traditional variant)"
"21","Chinese-strokes",10.473858223592,14.9963014850098,21.5893360160966,-0.18454455861895,-0.77376614352281,0.698429425019338,0.593140002990482,0.238501723245158,"Sino-Tibetan","Han (Traditional variant)"
"22","Chinese-pinyin",3.87649201456991,4.93454749229476,6.58289738430584,-0.170691268241833,-0.765240311836486,0.785582066161691,0.609055062646402,0.223055771633612,"Sino-Tibetan","Latin"
"23","Turkish",5.34920522282146,6.4293925631564,7.91550125128809,-0.232094234272868,-0.663476336001913,0.831992318135161,0.579087007752431,0.349815391565373,"Turkic","Latin"
"24","Finnish",6.54858787831635,7.50820820042014,9.27162238552855,-0.227718273237356,-0.591154664963158,0.872190501849683,0.647591567583096,0.385209297555908,"Uralic","Latin"
