"","language","family","script","A","n","T"
"1","Arabic","Afro-Asiatic","Arabic",39,6596,18201
"2","Indonesian","Austronesian","Latin",23,4501,16702
"3","Russian","Indo-European","Cyrillic",31,7113,15588
"4","Hindi","Indo-European","Devanagari",50,4716,20796
"5","Czech","Indo-European","Latin",33,7073,15331
"6","English","Indo-European","Latin",25,5001,18028
"7","French","Indo-European","Latin",26,5214,20407
"8","German","Indo-European","Latin",28,6116,18331
"9","Icelandic","Indo-European","Latin",32,6035,16209
"10","Italian","Indo-European","Latin",24,5606,21266
"11","Polish","Indo-European","Latin",31,7188,15191
"12","Portuguese","Indo-European","Latin",38,5661,21855
"13","Spanish","Indo-European","Latin",32,5750,21067
"14","Swedish","Indo-European","Latin",25,5624,16378
"15","Japanese","Japonic","Japanese",609,3345,22538
"16","Japanese-strokes","Japonic","Japanese",609,3345,22538
"17","Japanese-romaji","Japonic","Latin",19,4860,24743
"18","Korean","Koreanic","Hangul",401,6424,12540
"19","Thai","Kra-Dai","Thai",52,3599,21121
"20","Chinese","Sino-Tibetan","Han (Traditional variant)",814,3154,15436
"21","Chinese-strokes","Sino-Tibetan","Han (Traditional variant)",814,3154,15436
"22","Chinese-pinyin","Sino-Tibetan","Latin",44,5038,17885
"23","Turkish","Turkic","Latin",28,6587,13799
"24","Finnish","Uralic","Latin",24,6938,12701
