"","language","Lmin","L","Lrand","eta","psi","omega"
"1","Arabic",2.95208708322619,5.52663872460787,5.5222121486854,0.534946728995953,-0.00172231926841046,-0.00115263551629825
"2","Czech",4.69447524623312,7.26766453590764,7.26792026014421,0.646179882894491,9.93703907370501e-05,0.000621741970411569
"3","German",4.51050133653374,8.53865484698053,8.54529103989536,0.528899018957176,0.00164474319672799,0.00016869041231582
"4","English",3.77046816063901,6.98524955624584,6.98940211957609,0.540483966899151,0.00129004303387957,0.000157151119237582
"5","Finnish",6.55121643965042,9.30477922998189,9.30859037186509,0.704323582031667,0.00138216360090791,0.000143941994127651
"6","French",3.66060665457931,7.54644582741216,7.54871499808209,0.48580777563719,0.000583618168386769,0.000449781171046894
"7","Hindi",3.04977330476807,5.80332554431767,5.80382224268939,0.526110760744837,0.000180352049985026,-0.000535410952918404
"8","Indonesian",4.14112082385343,7.35471548317567,7.3572539435681,0.563395872647854,0.000789289590305728,-0.000177559043246806
"9","Icelandic",4.44031093836757,7.92816176198408,7.91267605633803,0.560901213027782,-0.00445969969169201,-0.000853190162707639
"10","Italian",3.8312329540111,7.73193426126211,7.73813770959686,0.496152367151767,0.00158781662795407,-0.000189916654062189
"11","Japanese",1.44762905768687,2.71207276549299,2.71104699093157,0.536014757765508,-0.000811904386046946,-0.000371701082630935
"12","Japanese-romaji",2.75329505943236,6.10337777957467,6.092390183543,0.451915350490685,-0.00329059090061178,-0.000565574573741756
"13","Japanese-strokes",5.14589481343736,13.8773057767716,13.9068425391591,0.372043268683771,0.00337141178239806,0.000204162678862724
"14","Korean",2.32631835540749,3.19063532948728,3.19170151174011,0.729194454267053,0.00123203490271799,0.000566332678154883
"15","Polish",5.17365545388717,7.992133829241,7.99471341124096,0.647676341929999,0.000914402340878749,-0.000976738731579554
"16","Portuguese",3.56412720201327,7.48768464882178,7.48030383324501,0.476920444797365,-0.00188469935648648,0.000185512526612839
"17","Russian",4.65937526598008,7.84433560303005,7.82983283326189,0.594507413223642,-0.00457434596123123,-0.000115759636810568
"18","Spanish",3.73327953671619,7.58231290644135,7.58991304347826,0.49329741903454,0.00197066613241352,-6.67979964824342e-05
"19","Swedish",4.30021980705825,8.01262058859446,7.99324324324324,0.53732102068462,-0.00524701391313954,-0.000783558134818399
"20","Thai",3.19026845637584,6.32387660594439,6.32661628883291,0.505039729670153,0.000873526482034406,-0.00026073036789017
"21","Turkish",5.33285020653671,7.9310453656062,7.93213906178837,0.672634124600853,0.000420767464900082,0.000106856197653211
"22","Chinese",1.4685346035304,2.1880720089661,2.18329979879276,0.671787462763344,-0.00667661241058131,-5.86928726880852e-05
"23","Chinese-pinyin",3.87649201456991,6.5893763519193,6.58289738430584,0.588819227237042,-0.00239393835303478,-0.000811678877462014
"24","Chinese-strokes",3.24539086578874,7.91087004763239,7.88571428571429,0.411704675273666,-0.00542112254720981,-9.53138387829467e-05
